period,GPR,gpr_threats,gpr_acts,total_articles,gpr_article_proportion,cat_1,cat_2,cat_3,cat_4,cat_5,cat_6,cat_7,cat_8,log_GPR,normalized_gpr,product,price,log_price,normalized_price
1987-05-01,98.65,97.37,95.24,17405.0,2.96,0.36,0.07,0.61,0.75,0.2,0.49,0.48,0.52,4.591578232468624,0.3599648334445287,UK Brent Crude Oil,18.58,2.922085733385692,0.24408002190552114
1987-05-01,98.65,97.37,95.24,17405.0,2.96,0.36,0.07,0.61,0.75,0.2,0.49,0.48,0.52,4.591578232468624,0.3599648334445287,WTI Crude Oil,19.44,2.967332799032293,0.26139932202557803
1987-06-01,94.18,99.83,81.83,16921.0,2.82,0.4,0.02,0.94,0.57,0.1,0.34,0.43,0.44,4.545207844815408,0.3419535330695236,WTI Crude Oil,20.07,2.9992261628082466,0.2736072018334786
1987-06-01,94.18,99.83,81.83,16921.0,2.82,0.4,0.02,0.94,0.57,0.1,0.34,0.43,0.44,4.545207844815408,0.3419535330695236,UK Brent Crude Oil,18.86,2.937043277205311,0.24980534766463686
1987-07-01,98.87,107.53,88.26,16894.0,2.97,0.24,0.04,0.99,0.64,0.26,0.35,0.47,0.65,4.593805855909042,0.3608300924371389,WTI Crude Oil,21.34,3.060583245873607,0.2970929620902891
1987-07-01,98.87,107.53,88.26,16894.0,2.97,0.24,0.04,0.99,0.64,0.26,0.35,0.47,0.65,4.593805855909042,0.3608300924371389,UK Brent Crude Oil,19.86,2.9887076586170265,0.2695810152001913
1987-08-01,99.97,115.48,87.6,16642.0,3.0,0.46,0.09,1.02,0.6,0.25,0.57,0.47,0.46,4.60487014097909,0.3651277093413076,UK Brent Crude Oil,18.98,2.9433857931817817,0.2522330838314572
1987-08-01,99.97,115.48,87.6,16642.0,3.0,0.46,0.09,1.02,0.6,0.25,0.57,0.47,0.46,4.60487014097909,0.3651277093413076,WTI Crude Oil,20.31,3.011113375592293,0.27815729149909085
1987-09-01,121.17,143.45,97.54,17335.0,3.63,0.63,0.09,1.18,1.01,0.22,0.65,0.61,0.42,4.7971945182434315,0.439830818451581,WTI Crude Oil,19.53,2.9719517448885875,0.2631673241795357
1987-09-01,121.17,143.45,97.54,17335.0,3.63,0.63,0.09,1.18,1.01,0.22,0.65,0.61,0.42,4.7971945182434315,0.439830818451581,UK Brent Crude Oil,18.31,2.907447358686419,0.23847686508057456
1987-10-01,101.06,110.7,88.83,18211.0,3.03,0.3,0.09,0.91,0.59,0.12,0.49,0.71,0.35,4.615714399863762,0.369339863131715,UK Brent Crude Oil,18.76,2.9317269435780786,0.24777040514819745
1987-10-01,101.06,110.7,88.83,18211.0,3.03,0.3,0.09,0.91,0.59,0.12,0.49,0.71,0.35,4.615714399863762,0.369339863131715,WTI Crude Oil,19.86,2.9887076586170265,0.2695810152001913
1987-11-01,96.15,110.8,75.88,17545.0,2.88,0.19,0.08,0.89,0.84,0.25,0.34,0.42,0.53,4.565909472034789,0.34999451018811323,WTI Crude Oil,18.85,2.93651291389402,0.24960233955284764
1987-11-01,96.15,110.8,75.88,17545.0,2.88,0.19,0.08,0.89,0.84,0.25,0.34,0.42,0.53,4.565909472034789,0.34999451018811323,UK Brent Crude Oil,17.78,2.8780742300857587,0.22723366019137348
1987-12-01,109.86,124.5,88.27,17572.0,3.3,0.43,0.04,1.12,1.14,0.1,0.32,0.69,0.45,4.699206827914474,0.4017701980235904,UK Brent Crude Oil,17.05,2.8361502037295256,0.21118632575479612
1987-12-01,109.86,124.5,88.27,17572.0,3.3,0.43,0.04,1.12,1.14,0.1,0.32,0.69,0.45,4.699206827914474,0.4017701980235904,WTI Crude Oil,17.28,2.8495497633759097,0.21631529912966432
1988-01-01,83.2,87.14,72.9,17351.0,2.5,0.21,0.07,0.92,0.61,0.12,0.26,0.58,0.34,4.421247347827163,0.2938044910000993,WTI Crude Oil,17.13,2.8408313123360287,0.21297812205566186
1988-01-01,83.2,87.14,72.9,17351.0,2.5,0.21,0.07,0.92,0.61,0.12,0.26,0.58,0.34,4.421247347827163,0.2938044910000993,UK Brent Crude Oil,16.75,2.8183982582710754,0.20439138189012415
1988-02-01,86.21,90.19,73.82,17133.0,2.59,0.22,0.08,0.72,0.64,0.14,0.35,0.52,0.37,4.456786180221833,0.307608571958499,UK Brent Crude Oil,15.73,2.7555697170701863,0.18034238897503768
1988-02-01,86.21,90.19,73.82,17133.0,2.59,0.22,0.08,0.72,0.64,0.14,0.35,0.52,0.37,4.456786180221833,0.307608571958499,WTI Crude Oil,16.8,2.8213788864092133,0.20553228224538453
