period,product,price,log_price,normalized_price
2024-11-01,WTI Crude Oil,69.95,4.24778070111149,0.7515186521367185
2024-11-01,UK Brent Crude Oil,74.35,4.308783672906164,0.774868868590074
2024-10-01,WTI Crude Oil,71.99,4.276527220481212,0.7625220086915901
2024-10-01,UK Brent Crude Oil,75.63,4.325853029867938,0.7814025368369022
2024-09-01,UK Brent Crude Oil,74.02,4.30433532695801,0.7731661672676138
2024-09-01,WTI Crude Oil,70.24,4.251917949326861,0.7531022740244412
2024-08-01,UK Brent Crude Oil,80.36,4.386516539946734,0.8046228169230583
2024-08-01,WTI Crude Oil,76.68,4.339640918177444,0.7866801514676334
2024-07-01,UK Brent Crude Oil,85.15,4.444414407108697,0.826784486931035
2024-07-01,WTI Crude Oil,81.8,4.404277243608702,0.8114211131809311
2024-06-01,WTI Crude Oil,79.77,4.379147493923038,0.8018021540168775
2024-06-01,UK Brent Crude Oil,82.25,4.409763389645481,0.8135210550966249
2024-05-01,UK Brent Crude Oil,81.75,4.403665809777363,0.811187073561407
2024-05-01,WTI Crude Oil,80.02,4.382276603429089,0.8029998888504929
2024-04-01,WTI Crude Oil,85.35,4.4467604492404496,0.8276824856673833
2024-04-01,UK Brent Crude Oil,89.94,4.499142781342561,0.8477329644708219
2024-03-01,WTI Crude Oil,81.28,4.397899983830172,0.8089800780669508
2024-03-01,UK Brent Crude Oil,85.41,4.4474631899580555,0.8279514749868203
2024-02-01,UK Brent Crude Oil,83.48,4.4246070822090005,0.819202801807127
2024-02-01,WTI Crude Oil,77.25,4.347046915777855,0.7895149583948221
2024-01-01,WTI Crude Oil,74.15,4.306090068583941,0.7738378328534007
2024-01-01,UK Brent Crude Oil,80.12,4.383525510797617,0.8034779353542514
2023-12-01,UK Brent Crude Oil,77.63,4.351953950417589,0.7913932328068878
2023-12-01,WTI Crude Oil,71.9,4.275276264727001,0.762043178123586
2023-11-01,WTI Crude Oil,77.69,4.3527265489623295,0.7916889617315697
2023-11-01,UK Brent Crude Oil,82.94,4.418117454818235,0.8167187555415445
2023-10-01,WTI Crude Oil,85.64,4.450152463721482,0.8289808531077698
2023-10-01,UK Brent Crude Oil,90.6,4.506454213048934,0.850531574241873
2023-09-01,WTI Crude Oil,89.43,4.49345619635809,0.8455563001811749
2023-09-01,UK Brent Crude Oil,93.72,4.540311613639595,0.8634912319287291
2023-08-01,UK Brent Crude Oil,86.15,4.456089962973938,0.8312535602998579
2023-08-01,WTI Crude Oil,81.39,4.3992524153389505,0.8094977506907471
2023-07-01,WTI Crude Oil,76.07,4.33165396900921,0.7836229726713623
